id	xcoord	ycoord	type	neighbours
0	0	0	0	1,10
1	1	0	0	0,2,11
2	2	0	0	1,3,12
3	3	0	0	2,4,13
4	4	0	0	3,5,14
5	5	0	1	4,6,15
6	6	0	1	5,7,16
7	7	0	1	6,8,17
8	8	0	1	7,9,18
9	9	0	1	8,19
10	0	1	0	0,11,20
11	1	1	0	1,10,12,21
12	2	1	0	2,11,13,22
13	3	1	0	3,12,14,23
14	4	1	1	4,13,15,24
15	5	1	1	5,14,16,25
16	6	1	1	6,15,17,26
17	7	1	1	7,16,18,27
18	8	1	1	8,17,19,28
19	9	1	1	9,18,29
20	0	2	0	10,21,30
21	1	2	0	11,20,22,31
22	2	2	1	12,21,23,32
23	3	2	1	13,22,24,33
24	4	2	1	14,23,25,34
25	5	2	1	15,24,26,35
26	6	2	1	16,25,27,36
27	7	2	1	17,26,28,37
28	8	2	1	18,27,29,38
29	9	2	1	19,28,39
30	0	3	0	20,31,40
31	1	3	0	21,30,32,41
32	2	3	0	22,31,33,42
33	3	3	1	23,32,34,43
34	4	3	1	24,33,35,44
35	5	3	1	25,34,36,45
36	6	3	1	26,35,37,46
37	7	3	1	27,36,38,47
38	8	3	1	28,37,39,48
39	9	3	1	29,38,49
40	0	4	0	30,41,50
41	1	4	0	31,40,42,51
42	2	4	0	32,41,43,52
43	3	4	1	33,42,44,53
44	4	4	1	34,43,45,54
45	5	4	1	35,44,46,55
46	6	4	1	36,45,47,56
47	7	4	1	37,46,48,57
48	8	4	1	38,47,49,58
49	9	4	1	39,48,59
50	0	5	0	40,51,60
51	1	5	0	41,50,52,61
52	2	5	0	42,51,53,62
53	3	5	0	43,52,54,63
54	4	5	1	44,53,55,64
55	5	5	1	45,54,56,65
56	6	5	1	46,55,57,66
57	7	5	1	47,56,58,67
58	8	5	1	48,57,59,68
59	9	5	1	49,58,69
60	0	6	0	50,61,70
61	1	6	0	51,60,62,71
62	2	6	0	52,61,63,72
63	3	6	0	53,62,64,73
64	4	6	0	54,63,65,74
65	5	6	0	55,64,66,75
66	6	6	1	56,65,67,76
67	7	6	1	57,66,68,77
68	8	6	1	58,67,69,78
69	9	6	1	59,68,79
70	0	7	0	60,71,80
71	1	7	0	61,70,72,81
72	2	7	0	62,71,73,82
73	3	7	0	63,72,74,83
74	4	7	0	64,73,75,84
75	5	7	0	65,74,76,85
76	6	7	0	66,75,77,86
77	7	7	0	67,76,78,87
78	8	7	1	68,77,79,88
79	9	7	1	69,78,89
80	0	8	0	70,81,90
81	1	8	0	71,80,82,91
82	2	8	0	72,81,83,92
83	3	8	0	73,82,84,93
84	4	8	0	74,83,85,94
85	5	8	0	75,84,86,95
86	6	8	0	76,85,87,96
87	7	8	1	77,86,88,97
88	8	8	1	78,87,89,98
89	9	8	1	79,88,99
90	0	9	0	80,91
91	1	9	0	81,90,92
92	2	9	0	82,91,93
93	3	9	0	83,92,94
94	4	9	0	84,93,95
95	5	9	1	85,94,96
96	6	9	1	86,95,97
97	7	9	1	87,96,98
98	8	9	1	88,97,99
99	9	9	1	89,98
