rate0 rate1 rate2 loglikelihood
0.08696279 0.02827539 0.09942632 -124612.96343955214
0.104578 0.0316488 0.09547764 -124924.96930769914
0.09585928 0.03553703 0.08571016 -124789.82512389519
0.10450595 0.04712998 0.10078356 -124955.82602277012
0.09734122 0.04744219 0.08597739 -124836.22810365679
0.08090439 0.04167847 0.08923321 -124507.24557423337
0.06944319 0.05642496 0.07542911 -124222.97584368935
0.08472211 0.02774344 0.07885752 -124549.1155178297
0.10250167 0.04105887 0.08853741 -124909.9378718884
0.08415375 0.04454215 0.09774357 -124589.97412908869
0.09592982 0.03610372 0.08572288 -124792.28168935044
0.10417678 0.04721724 0.10054553 -124951.02251552844
0.0790397 0.04580372 0.08609593 -124468.45437695355
0.08342914 0.02572509 0.07812801 -124513.4013749205
0.08268717 0.05303487 0.09686502 -124569.59965955469
0.08715975 0.02843615 0.09912267 -124617.2833523839
0.1049736 0.01629875 0.09048086 -124873.36150248873
0.09450138 0.04753564 0.07992504 -124783.31199720546
0.06995461 0.05585893 0.07599757 -124237.4413273212
0.1183782 0.031463 0.08186484 -125096.3938648355
0.08193794 0.01543745 0.11242492 -124453.60852929504
0.07689612 0.05378105 0.07676631 -124419.36418963764
0.10309499 0.0415521 0.08878995 -124919.91089404107
0.08085554 0.05388745 0.09949134 -124531.50054409093
0.0930382 0.03146397 0.09112375 -124733.79163679085
0.11725285 0.06590324 0.09356064 -125139.31655875283
0.11238527 0.04119139 0.08313375 -125044.66944347184
0.0794578 0.04766497 0.08918018 -124483.67277780383
0.09182367 0.02205224 0.08294114 -124675.0734406558
0.08191226 0.01526027 0.11301561 -124452.09768858159
0.11589168 0.00242615 0.08989276 -124850.64026589016
0.11088774 0.05416902 0.10779662 -125055.5099235827
0.0630338 0.06320541 0.07116579 -124031.13103747804
0.08217205 0.05974824 0.10920315 -124572.94502403306
0.08792007 0.04088444 0.09463911 -124659.36080856767
0.10010558 0.04474494 0.08148501 -124874.22671385643
0.07750566 0.03897448 0.07477931 -124408.15920777238
0.08346226 0.02595358 0.07736627 -124514.22299869257
0.10552186 0.03936416 0.08986673 -124952.26520309568
0.09078412 0.05310004 0.08587862 -124727.03149265169
0.10895805 0.05407995 0.0978676 -125025.5797128182
0.09695379 0.053823 0.07347888 -124828.61575071614
0.08420885 0.03110426 0.06019493 -124526.69508902087
0.07791598 0.03807754 0.07495752 -124416.49146090346
0.01470783 0.1187736 0.05404442 -122725.64716019045
0.09761238 0.03717985 0.08566868 -124822.97490492364
0.07277058 0.0576508 0.11108409 -124345.312242082
0.11346469 0.00473696 0.0889372 -124882.28885926085
0.09458698 0.04210712 0.1073526 -124792.95048567656
0.10408936 0.07211683 0.05472298 -124940.47616785757
0.10099848 0.00227929 0.08331465 -124608.37293415077
0.0817161 0.05467898 0.10808236 -124556.91991621847
7.59866102e-02 6.83819601e-05 1.28591206e-01 -124595.8699278792
0.10595161 0.04043129 0.09893161 -124965.1454969396
0.07764659 0.03841862 0.07369879 -124409.27377504835
0.10657849 0.0442933 0.09092943 -124976.34051016349
0.09204481 0.05847706 0.08202247 -124753.6182227006
0.10196691 0.05566653 0.10255504 -124929.14149225589
0.08425545 0.06914303 0.07515051 -124602.460637351
0.07968432 0.03038132 0.05807512 -124417.53198181499
0.10109783 0.04204603 0.07959762 -124884.10182576171
0.08327358 0.00793432 0.12482781 -124411.78908832984
0.04788076 0.08348152 0.07243813 -123496.64669908312
0.09040684 0.0314632 0.08144092 -124677.70758651686
0.06970715 0.06973371 0.13457197 -124286.45018866222
0.09204821 0.05270907 0.07878188 -124744.88681315401
0.06825806 0.03266404 0.06427868 -124127.92641041214
0.0900841 0.03658628 0.08638001 -124687.52641825669
0.09381854 0.02107353 0.07095661 -124697.55288056991
0.08599533 0.03443777 0.08718125 -124601.49451776323
0.09546177 0.03905608 0.1103058 -124804.0056137617
0.03831606 0.08060994 0.07841623 -123089.32752833792
0.05608828 0.09721852 0.17050395 -123891.79722526945
0.07270836 0.00971845 0.1361435 -124171.40233167855
0.08145331 0.03398357 0.08131655 -124496.62936908427
0.01933217 0.11547357 0.0554478 -122493.65322239745
0.08385347 0.04725494 0.07627344 -124571.20528106726
0.09316459 0.02436061 0.0712434 -124698.5249945815
0.09893361 0.04284705 0.11983626 -124872.34058192998
0.08453321 0.07262816 0.07453931 -124610.42428743686
0.05810409 0.0372684 0.06162585 -123803.9537904065
0.03885945 0.14207173 0.22912357 -123237.48907746194
0.09235751 0.04462188 0.11340749 -124760.23330546322
0.02193535 0.11031586 0.05938336 -122495.7190644035
0.07088921 0.03156368 0.06956188 -124208.54050095736
0.07339139 0.03833037 0.05343253 -124269.65348580465
0.05463689 0.08038008 0.1857843 -123835.78544792334
0.07406225 0.02677272 0.0595647 -124265.17415747106
0.08073533 0.05915927 0.06811356 -124508.06839735416
0.06013787 0.02619275 0.04392463 -123794.93515230325
0.07921141 0.02127004 0.12861883 -124431.06347621499
0.07401024 0.07247466 0.09397109 -124379.32478000643
0.05049128 0.07872659 0.12788474 -123651.08646102296
0.01411835 0.10837181 0.00907604 -122757.01637877678
0.07271706 0.03267547 0.07329497 -124267.11911051918
0.0968437 0.03428472 0.09174761 -124807.69521457475
0.07777621 0.01858661 0.04879985 -124304.85026351693
0.10615843 0.05301636 0.14159371 -125001.47591354766
0.07303602 0.03895724 0.05458789 -124263.65438527332
0.05058469 0.09622464 0.19691533 -123697.36958123694
0.07273305 0.01192185 0.12999756 -124197.94331863752
0.07413344 0.02592739 0.05990998 -124264.49220496076
0.11636996 0.03916292 0.12381551 -125107.78575951997
0.06589248 0.0639602 0.11587771 -124161.36221067113
0.01399508 0.21709027 0.35610293 -122857.19932878336
0.11315313 0.04028657 0.11461189 -125067.53226747227
0.10357258 0.06454358 0.10043054 -124960.34373312604
0.0413878 0.07177439 0.08879216 -123230.2569825485
0.07084039 0.03092371 0.06918005 -124204.6897572997
0.08948746 0.03157764 0.08143486 -124660.21232945855
0.07426174 0.084598 0.08582416 -124387.35119349329
0.05781485 0.02263142 0.04240666 -123688.63696797988
0.06798875 0.03747749 0.03922266 -124075.76693890052
0.08060481 0.02723445 0.06685117 -124441.94140109807
0.11674397 0.0209613 0.13276285 -125066.2673786763
0.04484279 0.08538805 0.11475343 -123416.76345888097
0.08780086 0.02391212 0.06264596 -124582.80405914198
0.04878905 0.06853975 0.08387825 -123535.06758405762
0.02674019 0.10336874 0.056051 -122595.85165424948
0.07026151 0.02410995 0.08589551 -124182.02449087356
0.08801142 0.02873041 0.0747955 -124616.99772065916
0.09501315 0.05669164 0.1429916 -124833.34312853857
0.08475362 0.06771821 0.08631624 -124621.01415247338
0.02833985 0.16937164 0.27191576 -122804.92816704906
0.07411667 0.03226515 0.06454766 -124292.18358197951
0.07350399 0.06079762 0.11394155 -124369.46446499495
