id,lat,lon
0,12.0,-12.0
1,12.0,-12.0
2,4.0,17.0
3,4.0,17.0
4,-3.0,37.0
5,-3.0,37.0
6,1.0,29.0
7,1.0,29.0
8,-3.0,37.0
9,-3.0,37.0
10,8.0,5.0
11,8.0,5.0
12,28.0,109.0
13,28.0,109.0
14,4.0,17.0
15,4.0,17.0
16,4.0,17.0
17,4.0,17.0
18,4.0,17.0
19,4.0,17.0
20,43.0,0.0
21,43.0,0.0
22,4.0,17.0
23,4.0,17.0
24,-3.0,37.0
25,-3.0,37.0
26,4.0,17.0
27,4.0,17.0
28,4.0,17.0
29,4.0,17.0
30,12.0,-12.0
31,12.0,-12.0
32,12.0,-12.0
33,12.0,-12.0
34,4.0,17.0
35,4.0,17.0
36,4.0,17.0
37,4.0,17.0
38,12.0,-12.0
39,12.0,-12.0
40,8.0,5.0
41,8.0,5.0
42,-25.6,24.25
43,-25.6,24.25
44,8.0,5.0
45,8.0,5.0
46,-3.0,37.0
47,-3.0,37.0
48,48.5,124.0
49,48.5,124.0
50,12.0,-12.0
51,12.0,-12.0
52,12.0,-12.0
53,12.0,-12.0
54,12.0,-12.0
55,12.0,-12.0
56,8.0,5.0
57,8.0,5.0
58,12.0,-12.0
59,12.0,-12.0
60,4.0,17.0
61,4.0,17.0
62,8.0,5.0
63,8.0,5.0
64,4.0,17.0
65,4.0,17.0
66,43.5,81.5
67,43.5,81.5
68,8.0,5.0
69,8.0,5.0
70,8.0,5.0
71,8.0,5.0
72,1.0,29.0
73,1.0,29.0
74,4.0,17.0
75,4.0,17.0
76,8.0,5.0
77,8.0,5.0
78,8.0,5.0
79,8.0,5.0
80,-3.0,37.0
81,-3.0,37.0
82,43.5,81.5
83,43.5,81.5
84,44.0,81.0
85,44.0,81.0
86,-11.0,-62.0
87,-11.0,-62.0
88,-25.6,24.25
89,-25.6,24.25
90,12.0,-12.0
91,12.0,-12.0
92,-25.6,24.25
93,-25.6,24.25
94,12.0,-12.0
95,12.0,-12.0
96,4.0,17.0
97,4.0,17.0
98,12.0,-12.0
99,12.0,-12.0
100,26.0,64.0
101,26.0,64.0
102,33.5,70.5
103,33.5,70.5
104,-6.0,155.0
105,-6.0,155.0
106,29.0,109.0
107,29.0,109.0
108,4.0,17.0
109,4.0,17.0
110,1.0,29.0
111,1.0,29.0
112,12.0,-12.0
113,12.0,-12.0
114,44.0,81.0
115,44.0,81.0
116,12.0,105.0
117,12.0,105.0
118,12.0,105.0
119,12.0,105.0
120,33.5,70.0
121,33.5,70.0
122,36.5,74.0
123,36.5,74.0
124,-6.0,155.0
125,-6.0,155.0
126,26.0,64.0
127,26.0,64.0
128,-4.0,143.0
129,-4.0,143.0
130,12.0,-12.0
131,12.0,-12.0
132,-6.0,155.0
133,-6.0,155.0
134,33.5,70.0
135,33.5,70.0
136,33.5,70.0
137,33.5,70.0
138,-4.0,143.0
139,-4.0,143.0
140,1.0,29.0
141,1.0,29.0
142,3.0,-68.0
143,3.0,-68.0
144,32.0,35.0
145,32.0,35.0
146,26.0,64.0
147,26.0,64.0
148,25.5,69.0
149,25.5,69.0
150,32.0,35.0
151,32.0,35.0
152,44.0,39.0
153,44.0,39.0
154,-6.0,155.0
155,-6.0,155.0
156,63.0,129.5
157,63.0,129.5
158,30.5,66.5
159,30.5,66.5
160,25.5,69.0
161,25.5,69.0
162,36.5,74.0
163,36.5,74.0
164,31.0,35.0
165,31.0,35.0
166,32.0,3.0
167,32.0,3.0
168,31.0,35.0
169,31.0,35.0
170,-4.0,143.0
171,-4.0,143.0
172,12.0,105.0
173,12.0,105.0
174,30.5,66.5
175,30.5,66.5
176,33.5,70.5
177,33.5,70.5
178,25.5,69.0
179,25.5,69.0
180,44.0,81.0
181,44.0,81.0
