rate loglikelihood
0.09804325 -5189.182468099959
0.09675813 -5188.799388659753
0.07947342 -5182.420348185946
0.09820188 -5189.229074920959
0.10158715 -5190.190255191381
0.09275562 -5187.539159071066
0.09929555 -5189.546483029532
0.10275228 -5190.507105813238
0.08632642 -5185.266931758808
0.09788464 -5189.135718033748
0.09965378 -5189.648989191042
0.10218948 -5190.354905108523
0.10089995 -5190.000132481746
0.08979052 -5186.532715696938
0.08938006 -5186.388022737985
0.09294253 -5187.600421197683
0.08269383 -5183.820370278124
0.09758575 -5189.047220195635
0.10556658 -5191.2454502148485
0.10111356 -5190.059491416033
0.09819497 -5189.227048391629
0.08979151 -5186.533064348349
0.10196244 -5190.293057842663
0.09245951 -5187.441591214619
0.08868095 -5186.138406568601
0.08362267 -5184.202866121895
0.10367954 -5190.754487990447
0.06105247 -5171.278734716801
0.09248163 -5187.448901360351
0.10212655 -5190.337789990337
0.10993157 -5192.322112830394
0.07340113 -5179.418685927952
0.10206757 -5190.321728334184
0.08350981 -5184.1568716475595
0.11407271 -5193.275910427456
0.08175378 -5183.423858212491
0.02854772 -5118.376739976376
0.09948821 -5189.601699663458
0.09864225 -5189.357700640583
0.09305802 -5187.6381524202025
0.11108465 -5192.593902459381
0.04520609 -5153.853306455485
0.10582234 -5191.310752105646
0.13185184 -5196.801912620613
0.13121169 -5196.687833226814
0.10552098 -5191.233778573605
0.00433614 -5032.872607956212
0.12256038 -5195.059768183017
0.08836662 -5186.0248463679345
0.09664537 -5188.765301735837
0.10951908 -5192.223661165846
0.09571202 -5188.480110185132
0.09532883 -5188.36142599998
0.07670989 -5181.1180702008805
0.01673861 -5074.699391088158
0.07116781 -5178.174052481529
0.08186226 -5183.470109183827
0.09426012 -5188.025364771411
0.09739036 -5188.989081812498
0.00526079 -5028.620320590793
0.07441229 -5179.9554586767645
0.08967589 -5186.492444646526
0.08202174 -5183.537866453341
0.08580505 -5185.067219479075
0.08488619 -5184.708994161015
0.0900884 -5186.636875839245
0.13298262 -5197.001474206681
0.0313867 -5126.270859180911
0.08353658 -5184.16779326547
0.06820694 -5176.386164065135
0.10890135 -5192.074987701249
0.0547298 -5165.559970556832
0.06299968 -5172.793809790036
0.06903694 -5176.904270815872
0.0739943 -5179.735509094544
0.08681954 -5185.453517870408
0.10126632 -5190.101796820158
0.00683731 -5030.3079856786335
0.09454492 -5188.11566002757
0.04676267 -5156.083295424945
0.12073372 -5194.6931329547415
0.07280002 -5179.0918803815575
0.06557091 -5174.645364898981
0.05760659 -5168.326869226664
0.05549374 -5166.324032578099
0.03275437 -5129.758960802345
0.07793696 -5181.70861156587
0.05596107 -5166.780715092921
0.01769896 -5078.93030768375
0.03378475 -5132.259733304367
0.09819286 -5189.226430206555
0.07400626 -5179.741840702277
0.0612185 -5171.411978737422
0.00138535 -5259.121639309045
0.04329183 -5150.9089474107395
0.05420117 -5165.018157213167
0.07536627 -5180.447527917373
0.06763607 -5176.021734109439
0.0208247 -5091.888529499786
0.02769022 -5115.80900071624
0.05064877 -5161.076605860411
0.10327909 -5190.648161945118
0.04973443 -5159.970396480828
0.00664699 -5029.800629949516
0.0951938 -5188.319378697497
0.05088855 -5161.360156217495
0.02790591 -5116.463173521626
0.04593826 -5154.919838337972
0.05787909 -5168.573967292406
0.0969942 -5188.870501080232
0.01311925 -5057.902922480266
0.07076437 -5177.94005568629
0.03153029 -5126.646362498682
0.03755968 -5140.55844220455
0.07649921 -5181.014618044883
0.0108989 -5047.273756231855
0.05898879 -5169.555170064872
0.11712452 -5193.941767011981
0.00075679 -5621.430017360127
0.024653 -5105.984268242267
0.0498804 -5160.149697326002
0.03213773 -5128.210590898064
0.01633811 -5072.902957561727
