id	deme	orig_id
0	109	0
1	109	1
2	404	2
3	404	3
4	532	4
5	532	5
6	828	6
7	828	7
8	532	8
9	532	9
10	467	10
11	467	11
12	588	12
13	588	13
14	404	14
15	404	15
16	404	16
17	404	17
18	404	18
19	404	19
20	323	20
21	323	21
22	404	22
23	404	23
24	532	24
25	532	25
26	404	26
27	404	27
28	404	28
29	404	29
30	109	30
31	109	31
32	109	32
33	109	33
34	404	34
35	404	35
36	404	36
37	404	37
38	109	38
39	109	39
40	467	40
41	467	41
42	91	42
43	91	43
44	467	44
45	467	45
46	532	46
47	532	47
48	198	48
49	198	49
50	109	50
51	109	51
52	109	52
53	109	53
54	109	54
55	109	55
56	467	56
57	467	57
58	109	58
59	109	59
60	404	60
61	404	61
62	467	62
63	467	63
64	404	64
65	404	65
66	892	66
67	892	67
68	467	68
69	467	69
70	467	70
71	467	71
72	828	72
73	828	73
74	404	74
75	404	75
76	467	76
77	467	77
78	467	78
79	467	79
80	532	80
81	532	81
82	892	82
83	892	83
84	892	84
85	892	85
86	91	88
87	91	89
88	109	90
89	109	91
90	91	92
91	91	93
92	109	94
93	109	95
94	404	96
95	404	97
96	109	98
97	109	99
98	897	100
99	897	101
100	112	102
101	112	103
102	883	106
103	883	107
104	404	108
105	404	109
106	828	110
107	828	111
108	109	112
109	109	113
110	892	114
111	892	115
112	394	116
113	394	117
114	394	118
115	394	119
116	679	120
117	679	121
118	374	122
119	374	123
120	897	126
121	897	127
122	109	130
123	109	131
124	679	134
125	679	135
126	679	136
127	679	137
128	828	140
129	828	141
130	648	144
131	648	145
132	897	146
133	897	147
134	184	148
135	184	149
136	648	150
137	648	151
138	523	152
139	523	153
140	715	156
141	715	157
142	894	158
143	894	159
144	184	160
145	184	161
146	374	162
147	374	163
148	648	164
149	648	165
150	683	166
151	683	167
152	648	168
153	648	169
154	394	172
155	394	173
156	894	174
157	894	175
158	112	176
159	112	177
160	184	178
161	184	179
162	892	180
163	892	181
164	467	182
165	467	183
166	404	184
167	404	185
168	374	186
169	374	187
170	715	188
171	715	189
172	894	190
173	894	191
174	374	194
175	374	195
176	648	196
177	648	197
178	523	198
179	523	199
180	523	202
181	523	203
182	374	204
183	374	205
184	715	210
185	715	211
186	648	212
187	648	213
188	828	214
189	828	215
190	648	218
191	648	219
192	894	220
193	894	221
194	112	222
195	112	223
196	467	224
197	467	225
198	894	228
199	894	229
200	404	230
201	404	231
202	588	234
203	588	235
204	894	236
205	894	237
206	467	238
207	467	239
208	467	242
209	467	243
210	826	244
211	826	245
212	467	246
213	467	247
214	467	248
215	467	249
216	828	250
217	828	251
218	467	252
219	467	253
220	683	254
221	683	255
222	648	256
223	648	257
224	648	258
225	648	259
226	588	262
227	588	263
228	257	266
229	257	267
230	679	268
231	679	269
232	828	270
233	828	271
234	532	272
235	532	273
236	532	274
237	532	275
238	532	280
239	532	281
240	257	282
241	257	283
242	463	286
243	463	287
244	467	288
245	467	289
246	463	290
247	463	291
248	683	292
249	683	293
250	404	294
251	404	295
252	892	296
253	892	297
254	467	300
255	467	301
256	463	302
257	463	303
258	198	304
259	198	305
260	374	306
261	374	307
