tree rate
61 0.0480625
75 0.0238125
54 0.0076875
4 0.006125
40 0.0269375
89 0.0058125
16 0.029875
78 0.0535
90 0.965
59 0.0045625
23 0.0210625
9 0.005625
37 0.00621875
84 0.0560625
2 0.034625
28 0.0060625
52 0.00370312
46 0.0065
67 0.0373125
73 0.0061875
25 0.0050625
96 0.036875
82 0.446375
31 0.00646875
101 0.0689375
10 0.02425
74 0.0300625
60 0.02825
41 0.0088125
88 0.4415
55 0.0458125
5 0.0175
79 0.0930625
17 0.00432812
36 0.0091875
85 0.5985
91 0.010875
58 0.0268125
22 0.0405625
8 0.0195
47 0.00578125
3 0.022125
29 0.0044375
53 4.107
72 0.022125
66 0.005625
83 0.0076875
30 0.0035625
24 0.0533125
97 0.0074375
100 0.9295
11 0.0288125
56 0.0299375
6 0.030625
38 0.0355625
42 0.024375
19 0.3919375
63 0.047625
77 0.0184375
92 0.1666875
21 0.0210625
35 0.0270625
86 0.0068125
14 0.0304375
65 0.078625
71 0.0415
50 0.042125
99 0.294
44 0.378375
68 0.035125
12 0.0325
103 0.422
27 0.03225
94 0.0404375
80 10.118
49 0.0426875
0 0.03475
33 0.0294375
39 0.0498125
43 0.03275
57 0.00728125
7 0.0191875
76 0.00434375
18 0.015625
62 0.017375
34 0.0308125
87 0.029625
93 0.0044375
20 0.06775
15 0.081125
104 0.0454375
70 0.03525
64 0.994
45 0.008
1 0.025875
51 0.0266875
98 0.0581875
69 0.0353125
13 0.0089375
102 0.027875
81 0.1558125
48 0.0233125
32 64.831
26 0.070375
95 0.048875
