id	deme	orig_id
0	238	0
1	886	2
2	217	4
3	874	6
4	876	10
5	144	12
6	495	20
7	37	42
8	297	48
9	549	66
10	693	98
11	550	100
12	855	102
13	302	112
14	525	116
15	625	118
16	210	130
17	461	134
18	156	138
19	343	140
20	142	142
21	306	150
22	811	210
23	622	228
24	795	242
25	366	262
26	187	264
27	338	272
28	737	288
29	64	296
30	364	324
31	171	340
32	643	422
33	18	434
34	10	684
35	362	704
36	618	876
37	282	1526
38	421	1532
39	536	1538
40	61	1548
41	764	1550
42	774	1552
43	767	1554
44	608	1566
45	662	1578
46	153	1590
47	602	1598
48	598	1610
49	487	1612
50	336	1614
51	146	1636
52	374	1646
53	703	1648
54	376	1658
55	746	1674
56	802	1678
57	246	1682
58	224	1686
59	116	1710
60	667	1716
61	25	1720
62	151	1724
63	356	1736
64	702	1740
65	263	1760
66	505	1778
67	806	1808
68	521	1810
69	15	1826
70	198	1830
71	261	1844
72	808	1846
73	100	1850
74	314	1854
75	733	1870
76	749	1874
77	155	1894
