id	deme	orig_id
0	632	0
1	813	2
2	794	4
3	749	6
4	669	10
5	508	12
6	421	20
7	895	42
8	150	48
9	252	66
10	548	100
11	558	102
12	511	106
13	722	116
14	242	120
15	243	122
16	363	144
17	562	148
18	354	152
19	163	156
20	559	158
21	392	166
22	171	244
23	882	266
24	528	286
25	517	308
26	716	310
27	547	318
28	523	334
29	515	342
30	520	370
31	290	386
32	365	472
33	148	486
34	187	770
35	90	790
36	222	968
37	733	6964
38	864	6970
39	668	6984
40	206	6994
41	238	7000
42	325	7006
43	324	7008
44	889	7022
45	450	7034
46	441	7050
47	204	7058
48	329	7076
49	10	7078
50	194	7080
51	183	7110
52	120	7122
53	140	7124
54	328	7144
55	188	7166
56	347	7178
57	340	7182
58	711	7186
59	883	7222
60	539	7228
61	432	7236
62	229	7240
63	790	7252
64	795	7256
65	96	7276
66	282	7312
67	216	7384
68	554	7386
69	0	7408
70	643	7412
71	797	7430
72	416	7432
73	240	7440
74	718	7444
75	349	7464
76	151	7472
77	585	7492
