id	xcoord	ycoord	type	neighbours
0	0	0	0	1,20
1	1	0	0	0,2,21
2	2	0	0	1,3,22
3	3	0	0	2,4,23
4	4	0	0	3,5,24
5	5	0	0	4,6,25
6	6	0	0	5,7,26
7	7	0	0	6,8,27
8	8	0	0	7,9,28
9	9	0	0	8,10,29
10	10	0	0	9,11,30
11	11	0	0	10,12,31
12	12	0	0	11,13,32
13	13	0	0	12,14,33
14	14	0	0	13,15,34
15	15	0	0	14,16,35
16	16	0	0	15,17,36
17	17	0	0	16,18,37
18	18	0	0	17,19,38
19	19	0	0	18,39
20	0	1	0	0,21,40
21	1	1	0	1,20,22,41
22	2	1	0	2,21,23,42
23	3	1	0	3,22,24,43
24	4	1	0	4,23,25,44
25	5	1	0	5,24,26,45
26	6	1	0	6,25,27,46
27	7	1	0	7,26,28,47
28	8	1	0	8,27,29,48
29	9	1	0	9,28,30,49
30	10	1	0	10,29,31,50
31	11	1	0	11,30,32,51
32	12	1	0	12,31,33,52
33	13	1	0	13,32,34,53
34	14	1	0	14,33,35,54
35	15	1	0	15,34,36,55
36	16	1	0	16,35,37,56
37	17	1	0	17,36,38,57
38	18	1	0	18,37,39,58
39	19	1	0	19,38,59
40	0	2	0	20,41,60
41	1	2	0	21,40,42,61
42	2	2	0	22,41,43,62
43	3	2	0	23,42,44,63
44	4	2	0	24,43,45,64
45	5	2	0	25,44,46,65
46	6	2	0	26,45,47,66
47	7	2	0	27,46,48,67
48	8	2	0	28,47,49,68
49	9	2	0	29,48,50,69
50	10	2	0	30,49,51,70
51	11	2	0	31,50,52,71
52	12	2	0	32,51,53,72
53	13	2	0	33,52,54,73
54	14	2	0	34,53,55,74
55	15	2	0	35,54,56,75
56	16	2	0	36,55,57,76
57	17	2	0	37,56,58,77
58	18	2	0	38,57,59,78
59	19	2	0	39,58,79
60	0	3	0	40,61,80
61	1	3	0	41,60,62,81
62	2	3	0	42,61,63,82
63	3	3	0	43,62,64,83
64	4	3	0	44,63,65,84
65	5	3	0	45,64,66,85
66	6	3	0	46,65,67,86
67	7	3	0	47,66,68,87
68	8	3	0	48,67,69,88
69	9	3	0	49,68,70,89
70	10	3	0	50,69,71,90
71	11	3	0	51,70,72,91
72	12	3	0	52,71,73,92
73	13	3	0	53,72,74,93
74	14	3	0	54,73,75,94
75	15	3	0	55,74,76,95
76	16	3	0	56,75,77,96
77	17	3	0	57,76,78,97
78	18	3	0	58,77,79,98
79	19	3	0	59,78,99
80	0	4	0	60,81,100
81	1	4	0	61,80,82,101
82	2	4	0	62,81,83,102
83	3	4	0	63,82,84,103
84	4	4	0	64,83,85,104
85	5	4	0	65,84,86,105
86	6	4	0	66,85,87,106
87	7	4	0	67,86,88,107
88	8	4	0	68,87,89,108
89	9	4	0	69,88,90,109
90	10	4	0	70,89,91,110
91	11	4	0	71,90,92,111
92	12	4	0	72,91,93,112
93	13	4	0	73,92,94,113
94	14	4	0	74,93,95,114
95	15	4	0	75,94,96,115
96	16	4	0	76,95,97,116
97	17	4	0	77,96,98,117
98	18	4	0	78,97,99,118
99	19	4	0	79,98,119
100	0	5	0	80,101,120
101	1	5	0	81,100,102,121
102	2	5	0	82,101,103,122
103	3	5	0	83,102,104,123
104	4	5	0	84,103,105,124
105	5	5	0	85,104,106,125
106	6	5	0	86,105,107,126
107	7	5	0	87,106,108,127
108	8	5	0	88,107,109,128
109	9	5	0	89,108,110,129
110	10	5	0	90,109,111,130
111	11	5	0	91,110,112,131
112	12	5	0	92,111,113,132
113	13	5	0	93,112,114,133
114	14	5	0	94,113,115,134
115	15	5	0	95,114,116,135
116	16	5	0	96,115,117,136
117	17	5	0	97,116,118,137
118	18	5	0	98,117,119,138
119	19	5	0	99,118,139
120	0	6	0	100,121,140
121	1	6	0	101,120,122,141
122	2	6	0	102,121,123,142
123	3	6	0	103,122,124,143
124	4	6	0	104,123,125,144
125	5	6	0	105,124,126,145
126	6	6	0	106,125,127,146
127	7	6	0	107,126,128,147
128	8	6	0	108,127,129,148
129	9	6	0	109,128,130,149
130	10	6	0	110,129,131,150
131	11	6	0	111,130,132,151
132	12	6	0	112,131,133,152
133	13	6	0	113,132,134,153
134	14	6	0	114,133,135,154
135	15	6	0	115,134,136,155
136	16	6	0	116,135,137,156
137	17	6	0	117,136,138,157
138	18	6	0	118,137,139,158
139	19	6	0	119,138,159
140	0	7	0	120,141,160
141	1	7	0	121,140,142,161
142	2	7	0	122,141,143,162
143	3	7	0	123,142,144,163
144	4	7	0	124,143,145,164
145	5	7	0	125,144,146,165
146	6	7	0	126,145,147,166
147	7	7	0	127,146,148,167
148	8	7	0	128,147,149,168
149	9	7	0	129,148,150,169
150	10	7	0	130,149,151,170
151	11	7	0	131,150,152,171
152	12	7	0	132,151,153,172
153	13	7	0	133,152,154,173
154	14	7	0	134,153,155,174
155	15	7	0	135,154,156,175
156	16	7	0	136,155,157,176
157	17	7	0	137,156,158,177
158	18	7	0	138,157,159,178
159	19	7	0	139,158,179
160	0	8	0	140,161,180
161	1	8	0	141,160,162,181
162	2	8	0	142,161,163,182
163	3	8	0	143,162,164,183
164	4	8	0	144,163,165,184
165	5	8	0	145,164,166,185
166	6	8	0	146,165,167,186
167	7	8	0	147,166,168,187
168	8	8	0	148,167,169,188
169	9	8	0	149,168,170,189
170	10	8	0	150,169,171,190
171	11	8	0	151,170,172,191
172	12	8	0	152,171,173,192
173	13	8	0	153,172,174,193
174	14	8	0	154,173,175,194
