id	deme	vcf_id	arg_id
0	197	tsk_0	20
1	77	tsk_1	21
2	190	tsk_2	22
3	256	tsk_3	23
4	368	tsk_4	24
5	197	tsk_5	25
6	236	tsk_6	26
7	333	tsk_7	27
8	220	tsk_8	28
9	232	tsk_9	29
10	199	tsk_10	30
11	150	tsk_11	31
12	318	tsk_12	32
13	351	tsk_13	33
14	287	tsk_14	34
15	193	tsk_15	35
16	238	tsk_16	36
17	270	tsk_17	37
18	362	tsk_18	38
19	113	tsk_19	39
20	207	tsk_20	40
21	89	tsk_21	41
22	236	tsk_22	42
23	371	tsk_23	43
24	31	tsk_24	44
25	181	tsk_25	45
26	162	tsk_26	46
27	365	tsk_27	47
28	144	tsk_28	48
29	119	tsk_29	49
30	245	tsk_30	50
31	12	tsk_31	51
32	140	tsk_32	52
33	252	tsk_33	53
34	386	tsk_34	54
35	147	tsk_35	55
36	375	tsk_36	56
37	198	tsk_37	57
38	339	tsk_38	58
39	152	tsk_39	59
40	325	tsk_40	60
41	171	tsk_41	61
42	296	tsk_42	62
43	262	tsk_43	63
44	69	tsk_44	64
45	140	tsk_45	65
46	392	tsk_46	66
47	48	tsk_47	67
48	120	tsk_48	68
49	126	tsk_49	69
50	326	tsk_50	70
51	48	tsk_51	71
52	344	tsk_52	72
53	29	tsk_53	73
54	382	tsk_54	74
55	227	tsk_55	75
56	44	tsk_56	76
57	135	tsk_57	77
58	269	tsk_58	78
59	66	tsk_59	79
60	72	tsk_60	80
61	173	tsk_61	81
62	143	tsk_62	82
63	263	tsk_63	83
64	347	tsk_64	84
65	382	tsk_65	85
66	202	tsk_66	86
67	58	tsk_67	87
68	148	tsk_68	88
69	64	tsk_69	89
70	73	tsk_70	90
71	333	tsk_71	91
72	145	tsk_72	92
73	271	tsk_73	93
74	110	tsk_74	94
75	201	tsk_75	95
76	366	tsk_76	96
77	178	tsk_77	97
78	312	tsk_78	98
79	382	tsk_79	99
