parameters	loglikelihood
[3.95507672e+00 3.95507672e+00 2.30559868e-04]	-302.25355587084437
[5.19574682e-04 2.63861796e-03 8.91290298e+00]	-57.68561378552333
[0.00117088 0.77880078 0.77880078]	-60.197086392250355
[1.02310321e-04 8.91290298e+00 6.80508540e-02]	-65.90134759145077
[0.01340001 0.06805085 0.00051957]	-65.90134759145077
[0.00263862 0.00051957 0.00263862]	-152.57551460429255
[0.06805085 0.01340001 0.00010231]	-65.90134759145077
[0.00594622 0.00594622 0.15335497]	-79.40808224374997
[0.03019738 0.03019738 0.03019738]	-60.197086392250355
[0.77880078 0.00117088 0.00117088]	-60.197086392250355
[1.75505466 0.34559075 1.75505466]	-59.714420757779614
[0.00023056 0.15335497 0.00594622]	-111.7622071826696
[0.34559075 1.75505466 0.01340001]	-151.53854933162464
[8.91290298e+00 1.02310321e-04 3.45590753e-01]	-243.75316456640977
[1.53354967e-01 2.30559868e-04 3.95507672e+00]	-275.97311140637817
[5.78376386 1.4128243  5.78376386]	-55.615612918647344
[5.78376394 1.4128243  5.78376386]	-55.61561291864791
[5.78376386 1.41282432 5.78376386]	-55.61561265005913
[5.78376386 1.4128243  5.78376394]	-55.61561318723575
[5.78354323e+00 2.00855369e+01 4.53999298e-05]	-403.00013787993527
[5.78371666 2.49272755 0.46795192]	-62.35030216721526
[5.78374281 1.81991625 1.88468242]	-42.273817120040086
[5.7837429  1.81991625 1.88468242]	-42.27381712003857
[5.78374281 1.81991628 1.88468242]	-42.27381711954391
[5.78374281 1.81991625 1.88468245]	-42.27381712053398
[5.78433173 1.82096202 1.88099236]	-42.27378188785591
[5.78433181 1.82096202 1.88099236]	-42.27378188785908
[5.78433173 1.82096205 1.88099236]	-42.27378188793632
[5.78433173 1.82096202 1.88099239]	-42.27378188777608
[5.78327314 1.82080116 1.88148806]	-42.273780925758025
[ 1.00051971  1.0026421  20.08553692]	-92.89231297260045
[ 1.00051972  1.0026421  20.08553692]	-92.89231297260027
[ 1.00051971  1.00264212 20.08553692]	-92.89231256878266
[ 1.00051971  1.0026421  20.08553662]	-92.89231256878186
[1.00053211e+00 2.00855369e+01 4.53999298e-05]	-403.0001378799379
[1.00052333 2.40210057 0.45412272]	-62.20022583325754
[1.00052334 2.40210057 0.45412272]	-62.200225833258166
[1.00052333 2.40210061 0.45412272]	-62.200226150672975
[1.00052333 2.40210057 0.45412273]	-62.20022551584262
[1.00050369 1.63525067 2.40678773]	-43.22073093957549
[1.0005037  1.63525067 2.40678773]	-43.22073093957596
[1.00050369 1.63525069 2.40678773]	-43.220730860275104
[1.00050369 1.63525067 2.40678776]	-43.220731018876705
[1.00047403 1.76584428 1.72443283]	-42.298136433117
[1.00047404 1.76584428 1.72443283]	-42.29813643311649
[1.00047403 1.76584431 1.72443283]	-42.29813644595999
[1.00047403 1.76584428 1.72443286]	-42.29813642027402
[1.00050333 1.74702496 1.80644509]	-42.2737835241481
[1.00050335 1.74702496 1.80644509]	-42.27378352414771
[1.00050333 1.74702498 1.80644509]	-42.27378352399892
[1.00050333 1.74702496 1.80644512]	-42.27378352429719
[1.00052933 1.74724724 1.80548979]	-42.273780235053195
[1.00052935 1.74724724 1.80548979]	-42.27378023505261
[1.00052933 1.74724726 1.80548979]	-42.27378023505246
[1.00052933 1.74724724 1.80548982]	-42.273780235052726
