id	deme	species
118	1	Albula_vulpes
26	1	Anguilla_anguilla
27	1	Anguilla_bicolor
28	1	Anguilla_japonica
25	1	Anguilla_rostrata
111	1	Ariosoma_anago
113	1	Ariosoma_balearicum
116	1	Ariosoma_shiroanago
52	0	Bathyuroconger_vicinus
78	0	Brachysomophis_crocodilinus
66	1	Conger_japonicus
65	1	Conger_myriaster
61	1	Conger_verreaxi
62	1	Conger_wilsoni
105	1	Congresox_talabonoides
104	0	Cynoponticus_ferox
33	0	Dysomma_anguillare
119	1	Elops_saurus
43	0	Facciolella_gilbertii
47	0	Gavialiceps_taeniola
39	1	Gnathophis_longicauda
15	1	Gorgasia_taiwanensis
92	0	Gymnothorax_castaneus
94	0	Gymnothorax_flavimarginatus
98	0	Gymnothorax_kidako
91	0	Gymnothorax_moringa
95	0	Gymnothorax_pseudothyrsoideus
100	0	Gymnothorax_reticularis
16	1	Heteroconger_hassi
68	0	Ichthyapus_ophioneus
32	0	Kaupichthys_hyoproroides
11	0	Kaupichthys_nuchalis
120	1	Megalops_cyprinoides
3	0	Moringua_edwardsi
6	0	Moringua_javanica
107	0	Muraenesox_bagio
108	0	Muraenesox_cinereus
77	1	Myrichthys_breviceps
73	1	Myrichthys_maculosus
79	1	Myrichthys_magnificus
59	0	Myrophis_vafer
31	0	Nemichthys_scolopaceus
44	0	Nettastoma_melanurum
76	1	Ophichthus_serpentinus
75	1	Ophichthus_zophochir
80	0	Oxyconger_leptognathus
112	1	Parabathymyrus_macrophthalmus
8	1	Paraconger_notialis
70	0	Pisodonophis_cancrivorus
115	1	Poeciloconger_kapala
99	0	Rhinomuraena_quaesita
50	1	Rhynchoconger_flavus
46	0	Saurenchelys_fierasfer
64	1	Scolecenchelys_breviceps
102	0	Scuticaria_tigrina
22	0	Serrivomer_beanii
82	0	Serrivomer_sector
34	1	Simenchelys_parasitica
51	1	Uroconger_lepturus
101	0	Uropterygius_micropterus
17	0	Venefica_proboscidea
