id	xcoord	ycoord	type	neighbours
7	23.904506099480816	69.80919328480279	0:0.3385218965719795,18000:0.0005506758962558729,27000:0.3385218965719795	8,224,247,249
8	26.619810758770196	70.01772942917646	0:0.3167715288726081,18000:0.0005037991767914565,27000:0.3167715288726081	7,10,220,224
9	31.454285610771493	69.45802130103229	0:0.3881896369207447,18000:0.0005134958508540283,27000:0.3881896369207447	10,220,222,881
10	29.4182856446676	70.1859119857394	0:0.3226552703850767,18000:0.0005938657946621727,27000:0.3226552703850767	8,9,220
15	53.78472486232112	68.85524442938195	0:0.208654247819297,18000:0.0005542282565302749,27000:0.208654247819297	702,706,712
163	11.701625491317127	64.12314088920172	0:0.548919888838046,18000:0.00116026180173201,27000:0.548919888838046	164,166,170,176
164	12.195137349625996	64.99789585112012	0:0.5245036898688047,18000:0.0011320937922467233,27000:0.5245036898688047	163,176,177
165	11.930181790087365	62.766376213204325	0:0.36399361459443424,18000:0.0006619372864006056,27000:0.36399361459443424	166,167,168,169,170,171
166	12.881494040876277	63.512086589629824	0:0.4426528914467336,18000:0.000591498664547483,27000:0.4426528914467336	163,165,168,170,176,178
167	13.05204014170474	62.138575107181104	0:0.40305670313176767,18000:0.00045722893683190606,27000:0.40305670313176767	165,168,171,196,200,204
168	14.014855661331032	62.88687406129747	0:0.4237309420133391,18000:0.0004367410127057618,27000:0.4237309420133391	165,166,167,178,204,205
169	9.872663699816119	62.61780362011688	0:0.3593496530453422,18000:0.0010339678240776575,27000:0.3593496530453422	165,170,171,181,182,262
170	10.781663823671009	63.37367182544056	0:0.5426314786585366,18000:0.001086629623727892,27000:0.5426314786585366	163,165,166,169,182
171	11.010000510412041	62.00458677489248	0:0.3793312302599611,18000:0.0006270479530356716,27000:0.3793312302599611	165,167,169,200,262,264
172	15.27710648603815	64.63577915615339	0:0.4061550797896455,18000:0.0004728164468783072,27000:0.4061550797896455	173,174,175,176,177,178
