rates	loglikelihood
[0.00012535]	-14311.291953466884
[0.00013554]	-14096.84374921126
[0.00014655]	-13887.451384404603
[0.00015846]	-13683.152877276814
[0.00017134]	-13484.027545237159
[0.00018526]	-13290.184704424797
[0.00020031]	-13101.746963213647
[0.00021659]	-12918.833931689498
[0.00023419]	-12741.551012341872
[0.00025322]	-12569.985495591734
[0.26497362]	-9698.222440606303
[0.362176]	-9747.407696899914
[0.92484881]	-9820.64459050472
[0.11219689]	-9609.307895743943
[0.12131376]	-9612.036946483928
[0.13117145]	-9615.955710957516
[0.04063502]	-9548.214137535266
[0.04393693]	-9565.424866705818
[0.04750715]	-9580.229855916661
[0.0010333]	-10365.218090748795
[0.00111726]	-10283.374422418954
[0.00120805]	-10206.530810396864
[0.00081741]	-10639.031681602963
[0.00088383]	-10543.299607771329
[0.00034611]	-11942.086164780898
[0.2865048]	-9710.723553797792
[0.0002738]	-12404.208696121454
[0.00029604]	-12244.278359112923
[0.0003201]	-12090.23437975767
[0.00130621]	-10134.779927459671
[0.00141235]	-10068.186481073037
[0.00152711]	-10006.79360728002
[0.0016512]	-9950.624682017504
[0.00178538]	-9899.682184469673
[0.00193045]	-9853.944385945815
[0.00208732]	-9813.36035503518
[0.00225693]	-9777.84365984855
[0.00244032]	-9747.264484432166
[0.00095564]	-10451.9271335062
[0.00728546]	-9531.730772955363
[0.00787746]	-9504.186938097075
[0.00851756]	-9477.694658210761
[0.00920968]	-9453.46660436325
[0.00995804]	-9432.187151454844
[0.01076721]	-9414.20502776895
[0.01164213]	-9399.676717242064
[0.01258814]	-9388.648330520307
[0.01361103]	-9381.09924197842
[0.01471703]	-9376.965331213489
[0.05136748]	-9592.123685485112
[0.05554149]	-9600.851112240052
[0.06005467]	-9606.47796074214
[0.06493458]	-9609.39134393522
[0.07021102]	-9610.215670251384
[0.07591621]	-9609.699912462267
[0.082085]	-9608.613441831896
[0.08875505]	-9607.628109777841
[0.09596709]	-9607.233094242953
[0.10376516]	-9607.735415221254
[0.30978555]	-9723.254340076364
[8.48182352e-05]	-15460.599196864343
[9.17103791e-05]	-15220.22979022367
[9.91625634e-05]	-14985.196333415146
[0.00010722]	-14755.413721075092
[0.00011593]	-14530.801302221738
[6.20543465e-05]	-16477.053487839024
[4.90890285e-05]	-17299.111572621947
[5.30778953e-05]	-17019.277848908772
[5.73908887e-05]	-16745.277759408185
[6.70967467e-05]	-16214.542420608488
[0.39160563]	-9758.525703335948
[0.42342664]	-9768.698970474145
[0.45783336]	-9777.754537660901
[0.4950359]	-9785.594548039859
[0.53526143]	-9792.219268944515
[0.00037424]	-11799.795915949411
[0.00040465]	-11663.262266236057
[0.00043753]	-11532.305009540349
[0.00047308]	-11406.64945039642
[0.00051152]	-11285.911487337527
[0.00055308]	-11169.59429007795
[0.00059803]	-11057.124351358952
[0.00064662]	-10947.964632980567
[0.00069916]	-10841.802464726778
[0.00075598]	-10738.697247680288
[0.5787556]	-9797.738685106264
[0.62578401]	-9802.360452433162
[0.67663385]	-9806.34937711835
[0.73161563]	-9809.973111803936
[0.79106511]	-9813.459549462528
[0.85534533]	-9816.978785629039
[0.00360656]	-9658.892483410158
[0.00389962]	-9650.59889894876
[0.0042165]	-9643.514006577212
[0.00455912]	-9636.461772766721
[0.00492959]	-9628.120165042314
[0.00533015]	-9617.094809758979
[0.00576327]	-9602.118252578803
[0.00623158]	-9582.474386837808
[0.00673795]	-9558.511162907826
[0.00263862]	-9721.438346478822
[0.0159129]	-9376.151482350606
[0.01720595]	-9378.537971223202
[0.15335497]	-9627.339397009886
[0.16581626]	-9634.741550478318
[0.17929012]	-9643.213720262422
[0.19385884]	-9652.681145606985
[0.20961139]	-9663.048428636372
[0.22664395]	-9674.196382409687
[0.00285303]	-9700.108553156122
[0.00308486]	-9682.921139537937
[0.00333553]	-9669.394920381006
[0.24506054]	-9685.979158226603
[0.33495804]	-9735.56759817653
[7.25488812e-05]	-15957.677746138861
[7.84440442e-05]	-15706.38848876746
[0.01860407]	-9383.982692524805
[0.02011579]	-9392.319850156382
[0.02175036]	-9403.35520917437
[0.02351775]	-9416.858005140917
[0.02542875]	-9432.549953417298
[0.02749503]	-9450.092375004671
[0.02972922]	-9469.073205580882
[0.03214495]	-9488.996608414855
[0.03475698]	-9509.279113637645
[0.03758125]	-9529.257481674593
[4.53999298e-05]	-17584.830802257424
[0.14183016]	-9621.06405442765
[0.0159129]	-9376.151482350606
[0.0159129]	-9376.151482504634
[4.53999298e-05]	-17584.830802256853
[0.00885686]	-9465.244787500691
[0.0150073]	-9376.454899452003
[0.01560532]	-9376.049850019484
[0.01560532]	-9376.049850020843
[0.0156026]	-9376.049848910206
[0.01560386]	-9376.04984743523
[0.01560386]	-9376.04984743647
[0.01559149]	-9376.05001176835
[0.01560208]	-9376.049850524738
[0.01560319]	-9376.049847796894
[0.01560355]	-9376.04984747787
[0.01560371]	-9376.0498474318
[0.01560378]	-9376.049847426862
[0.01560382]	-9376.049847430393
[0.01560384]	-9376.049847430371
[0.01560385]	-9376.049847434204
[0.01560385]	-9376.049847434286
[0.01560386]	-9376.04984743522
[0.01560386]	-9376.049847434957
[0.01560386]	-9376.049847434935
[0.01560386]	-9376.049847433736
[0.01560387]	-9376.049847435806
