id	deme_0	deme_1	migration_modifier
0	0	1	1
1	0	2	1
2	0	3	1
3	0	4	1
4	0	5	1
5	0	6	1
6	1	0	1
7	1	2	1
8	1	6	1
9	1	7	1
10	1	8	1
11	1	18	1
12	2	0	1
13	2	1	1
14	2	3	1
15	2	8	1
16	2	9	1
17	2	10	1
18	3	0	1
19	3	2	1
20	3	4	1
21	3	10	1
22	3	11	1
23	3	12	1
24	4	0	1
25	4	3	1
26	4	5	1
27	4	12	1
28	4	13	1
29	4	14	1
30	5	0	1
31	5	4	1
32	5	6	1
33	5	14	1
34	5	15	1
35	5	16	1
36	6	0	1
37	6	1	1
38	6	5	1
39	6	16	1
40	6	17	1
41	6	18	1
42	7	1	1
43	7	8	1
44	7	18	1
45	7	19	1
46	7	20	1
47	7	36	1
48	8	1	1
49	8	2	1
50	8	7	1
51	8	9	1
52	8	20	1
53	8	21	1
54	9	2	1
55	9	8	1
56	9	10	1
57	9	21	1
58	9	22	1
59	9	23	1
60	10	2	1
61	10	3	1
62	10	9	1
63	10	11	1
64	10	23	1
65	10	24	1
66	11	3	1
67	11	10	1
68	11	12	1
69	11	24	1
70	11	25	1
71	11	26	1
72	12	3	1
73	12	4	1
74	12	11	1
75	12	13	1
76	12	26	1
77	12	27	1
78	13	4	1
79	13	12	1
80	13	14	1
81	13	27	1
82	13	28	1
83	13	29	1
84	14	4	1
85	14	5	1
86	14	13	1
87	14	15	1
88	14	29	1
89	14	30	1
90	15	5	1
91	15	14	1
92	15	16	1
93	15	30	1
94	15	31	1
95	15	32	1
96	16	5	1
97	16	6	1
98	16	15	1
99	16	17	1
100	16	32	1
101	16	33	1
102	17	6	1
103	17	16	1
104	17	18	1
105	17	33	1
106	17	34	1
107	17	35	1
108	18	1	1
109	18	6	1
110	18	7	1
111	18	17	1
112	18	35	1
113	18	36	1
114	19	7	1
115	19	20	1
116	19	36	1
117	20	7	1
118	20	8	1
119	20	19	1
120	20	21	1
121	21	8	1
122	21	9	1
123	21	20	1
124	21	22	1
125	22	9	1
126	22	21	1
127	22	23	1
128	23	9	1
129	23	10	1
130	23	22	1
131	23	24	1
132	24	10	1
133	24	11	1
134	24	23	1
135	24	25	1
136	25	11	1
137	25	24	1
138	25	26	1
139	26	11	1
140	26	12	1
141	26	25	1
142	26	27	1
143	27	12	1
144	27	13	1
145	27	26	1
146	27	28	1
147	28	13	1
148	28	27	1
149	28	29	1
150	29	13	1
151	29	14	1
152	29	28	1
153	29	30	1
154	30	14	1
155	30	15	1
156	30	29	1
157	30	31	1
158	31	15	1
159	31	30	1
160	31	32	1
161	32	15	1
162	32	16	1
163	32	31	1
164	32	33	1
165	33	16	1
166	33	17	1
167	33	32	1
168	33	34	1
169	34	17	1
170	34	33	1
171	34	35	1
172	35	17	1
173	35	18	1
174	35	34	1
175	35	36	1
176	36	7	1
177	36	18	1
178	36	19	1
179	36	35	1
