parameters	loglikelihood
[0.1 1. ]	-28719.27023181977
[0.1 1. ]	-28719.270180726697
[0.1        1.00000001]	-28719.27023181977
[0.27182818 1.        ]	-25272.736326593913
[0.27182819 1.        ]	-25272.7363101744
[0.27182818 1.00000001]	-25272.736326593913
[0.43646831 1.        ]	-24924.3905352547
[0.43646831 1.        ]	-24924.390536893257
[0.43646831 1.00000001]	-24924.3905352547
[0.41811106 1.        ]	-24920.800124390542
[0.41811106 1.        ]	-24920.80012442102
[0.41811106 1.00000001]	-24920.800124390542
[0.41777068 1.        ]	-24920.79888782998
[0.41777069 1.        ]	-24920.79888782986
[0.41777068 1.00000001]	-24920.79888782998
[0.41777202 1.        ]	-24920.798887812052
[0.41777202 1.        ]	-24920.79888781205
[0.41777202 1.00000001]	-24920.798887812052
