id	deme	species
1	1	Acantharchus_pomotis
11	0	Lepomis_gibbosus
13	0	Lepomis_microlophus
15	0	Lepomis_punctatus
16	0	Lepomis_miniatus
17	0	Lepomis_auritus
19	0	Lepomis_marginatus
20	0	Lepomis_megalotis
23	0	Lepomis_humilis
24	0	Lepomis_macrochirus
25	1	Lepomis_gulosus
27	0	Lepomis_symmetricus
28	1	Lepomis_cyanellus
31	1	Micropterus_coosae
33	1	Micropterus_notius
35	1	Micropterus_treculi
37	1	Micropterus_salmoides
38	1	Micropterus_floridanus
39	1	Micropterus_punctulatus
40	1	Micropterus_dolomieu
41	0	Centrarchus_macropterus
43	0	Enneacantus_obesus
47	1	Pomoxis_annularis
48	1	Pomoxis_nigromaculatus
49	1	Archolites_interruptus
53	1	Ambloplites_ariommus
54	1	Ambloplites_rupestris
52	1	Ambloplites_cavifrons
