id	deme_0	deme_1	migration_modifier
0	0	1	c
1	0	5	d
2	1	0	b
3	1	2	c
4	1	6	d
5	2	1	b
6	2	3	c
7	2	7	d
8	3	2	b
9	3	4	c
10	3	8	d
11	4	3	b
12	4	9	d
13	5	0	a
14	5	6	c
15	5	10	d
16	6	1	a
17	6	5	b
18	6	7	c
19	6	11	d
20	7	2	a
21	7	6	b
22	7	8	c
23	7	12	d
24	8	3	a
25	8	7	b
26	8	9	c
27	8	13	d
28	9	4	a
29	9	8	b
30	9	14	d
31	10	5	a
32	10	11	c
33	10	15	d
34	11	6	a
35	11	10	b
36	11	12	c
37	11	16	d
38	12	7	a
39	12	11	b
40	12	13	c
41	12	17	d
42	13	8	a
43	13	12	b
44	13	14	c
45	13	18	d
46	14	9	a
47	14	13	b
48	14	19	d
49	15	10	a
50	15	16	c
51	15	20	d
52	16	11	a
53	16	15	b
54	16	17	c
55	16	21	d
56	17	12	a
57	17	16	b
58	17	18	c
59	17	22	d
60	18	13	a
61	18	17	b
62	18	19	c
63	18	23	d
64	19	14	a
65	19	18	b
66	19	24	d
67	20	15	a
68	20	21	c
69	21	16	a
70	21	20	b
71	21	22	c
72	22	17	a
73	22	21	b
74	22	23	c
75	23	18	a
76	23	22	b
77	23	24	c
78	24	19	a
79	24	23	b
