id	deme
0	15
1	10
2	20
3	10
4	2
5	24
6	22
7	5
8	2
9	4
10	3
11	15
12	21
13	18
14	15
15	5
16	21
17	1
18	8
19	15
20	1
21	20
22	18
23	21
24	22
25	16
26	3
27	11
28	14
29	20
30	24
31	23
32	10
33	6
34	18
35	3
36	6
37	12
38	3
39	7
40	15
41	21
42	12
43	0
44	22
45	11
46	22
47	4
48	16
49	10
50	9
51	1
52	14
53	18
54	9
55	15
56	18
57	20
58	1
59	6
60	12
61	24
62	4
63	9
64	7
65	12
66	23
67	23
68	12
69	23
70	23
71	11
72	20
73	2
74	5
75	6
76	2
77	14
78	5
79	18
80	17
81	16
82	20
83	19
84	9
85	5
86	16
87	18
88	12
89	20
90	9
91	17
92	22
93	24
94	4
95	18
96	21
97	1
98	11
99	3
