id	deme	species
1	0	Acantharchus_pomotis
11	2	Lepomis_gibbosus
13	1	Lepomis_microlophus
15	0	Lepomis_punctatus
16	2	Lepomis_miniatus
17	1	Lepomis_auritus
19	1	Lepomis_marginatus
20	0	Lepomis_megalotis
23	2	Lepomis_humilis
24	1	Lepomis_macrochirus
25	0	Lepomis_gulosus
27	2	Lepomis_symmetricus
28	1	Lepomis_cyanellus
31	1	Micropterus_coosae
33	0	Micropterus_notius
35	2	Micropterus_treculi
37	1	Micropterus_salmoides
38	0	Micropterus_floridanus
39	2	Micropterus_punctulatus
40	1	Micropterus_dolomieu
41	1	Centrarchus_macropterus
43	0	Enneacantus_obesus
47	2	Pomoxis_annularis
48	1	Pomoxis_nigromaculatus
49	0	Archolites_interruptus
53	2	Ambloplites_ariommus
54	1	Ambloplites_rupestris
52	1	Ambloplites_cavifrons
