rate loglikelihood
0.11168659 -125098.21610135106
0.10610651 -125019.53141696191
0.09810736 -124892.14729587601
0.08320563 -124595.76384105365
0.10282303 -124969.49170997804
0.10126268 -124944.6455499015
0.09700076 -124872.98388746977
0.08720616 -124684.1486512029
0.11372992 -125125.22202249058
0.10264739 -124966.73031303418
0.11187923 -125100.80129808612
0.1097804 -125072.17988884743
0.11990959 -125201.74035136259
0.09869818 -124902.21538227127
0.08002678 -124520.1945147486
0.10897264 -125060.89014045696
0.06946399 -124229.9748592584
0.10280115 -124969.14824709453
0.10171352 -124951.89784474687
0.09759535 -124883.33074247417
0.10471881 -124998.74302807525
0.05740309 -123809.61860530224
0.10393288 -124986.7380624683
0.10603495 -125018.47186746151
0.09520174 -124840.95205756261
0.1018724 -124954.43931746052
0.07017849 -124251.69905833398
0.10264411 -124966.67863896005
0.09199101 -124780.93822839597
0.09215531 -124784.10164687707
0.09240609 -124788.91022144533
0.06265247 -124005.619057341
0.09931568 -124912.61888331012
0.11224304 -125105.66092561965
0.09535923 -124843.8005957811
0.12408447 -125249.56431027346
0.09211489 -124783.32433275027
0.10471468 -124998.68043466208
0.08680466 -124675.59815341285
0.03922335 -122967.66963146371
0.09194208 -124779.9941867653
0.10402449 -124988.14621837
0.01157086 -123442.30048938723
0.08854226 -124712.1114559095
0.09840483 -124897.23053140796
0.12930813 -125305.67708336462
0.1124592 -125108.53449182276
0.09555858 -124847.39397323116
0.09441063 -124826.5109358357
0.01888122 -122328.61491706662
0.08953096 -124732.32728776646
0.09155098 -124772.41581671193
0.11140631 -125094.43998192778
0.07333829 -124343.94910139864
0.08281322 -124586.70008449574
0.02865256 -122452.30879731923
0.07562627 -124407.02732521192
0.06219096 -123989.22756618458
0.11723639 -125169.5393782793
0.08491263 -124634.35690259101
0.11857389 -125185.81383710746
0.07076147 -124269.18364289407
0.08242086 -124577.56439164223
0.03421606 -122710.72683320461
0.06596945 -124118.88544651304
0.0284048 -122442.3161772448
0.06403162 -124053.67149604925
0.06273921 -124008.68225389968
0.07675678 -124437.09752274104
0.06290172 -124014.40632469713
0.07387721 -124359.08046270373
0.02651838 -122373.02817680206
0.06989136 -124243.00810353224
0.06593461 -124117.73629426965
0.05810154 -123836.93017214409
0.06919976 -124221.85776544461
0.06480041 -124079.8614066755
0.08215561 -124571.34646976274
0.06495173 -124084.96697814591
0.04240043 -123130.1623158381
0.0648962 -124083.09523944078
