rate loglikelihood    
0.10313273 -4755.88335360494
0.10433157 -4758.586739035408
0.10534682 -4760.841539799483
0.09796098 -4743.679366295687
0.10458315 -4759.148390492687
0.1057162 -4761.6542365228515
0.1003895 -4749.523540455906
0.10468628 -4759.378082342215
0.10262246 -4754.71896484247
0.10337351 -4756.429933153808
0.10275774 -4755.028475845001
0.10304197 -4755.676865135564
0.10514183 -4760.388783927222
0.09350272 -4732.378950396486
0.10464556 -4759.287428387947
0.10292767 -4755.416433678173
0.10230698 -4753.994904776592
0.0888941 -4719.83011164128
0.10862518 -4767.916382658383
0.10658521 -4763.550310955496
0.11354133 -4777.98081545519
0.10679359 -4764.001706777473
0.10464991 -4759.29710225211
0.10034677 -4749.422508297528
0.09374739 -4733.019537558284
0.09945583 -4747.301283638663
0.09485193 -4735.881025949429
0.10539994 -4760.958664502208
0.08990784 -4722.672032135372
0.10461522 -4759.219846945468
0.0959836 -4738.762403236314
0.10666675 -4763.727094010279
0.10008905 -4748.811731874589
0.09518716 -4736.7398050861975
0.09215929 -4728.817037329345
0.09742335 -4742.35697012056
0.09995859 -4748.501674594766
0.08599586 -4711.432197460154
0.09961415 -4747.680222300821
0.10418194 -4758.251764668349
0.09648661 -4740.027186584599
0.09029184 -4723.736158686955
0.09797871 -4743.722813380514
0.09460185 -4735.23747354587
0.10185571 -4752.95355278476
0.09615053 -4739.183215625677
0.09054131 -4724.423870133769
0.09643881 -4739.907407528355
0.09649181 -4740.040210180063
0.10132176 -4751.712754999899
0.09661428 -4740.346659122547
0.07653518 -4680.793655780714
0.09536719 -4737.199186722849
0.09512827 -4736.589258982107
0.10308867 -4755.783158864392
0.09627869 -4739.5055624972665
0.08545483 -4709.817723124599
0.09519303 -4736.754815874832
0.09474083 -4735.595417622006
0.09089079 -4725.382586987223
0.09723871 -4741.900346474853
0.09455904 -4735.127047899265
0.09197702 -4728.327871868618
0.07320244 -4668.620260483114
0.09910834 -4746.466448786321
0.11193781 -4774.765874407021
0.09463603 -4735.325570041011
0.09013871 -4723.312603074411
0.06904687 -4652.241688422143
0.09573213 -4738.126467839883
0.09401802 -4733.725233297984
0.08193205 -4698.919452954083
0.09552953 -4737.612306532752
0.09528155 -4736.980809239819
0.09015178 -4723.348799569631
0.09475817 -4735.640045208751
0.09248789 -4729.695331211529
0.11167225 -4774.227268075515
0.09111213 -4725.986947955464
0.07587712 -4678.453035855565
0.09214885 -4728.789056764625
0.09195409 -4728.2662142710415
0.11142906 -4773.732476174311
0.09699647 -4741.299339268443
0.04909632 -4548.387975433267
0.08918959 -4720.663463382926
0.11393569 -4778.7618707906
0.14195884 -4826.573846155682
0.09003341 -4723.020740176077
0.05615001 -4590.802331514192
0.08800185 -4717.2886407844035
0.09094214 -4725.522990638605
0.08823662 -4717.96107325714
0.03794869 -4463.8121223639255
0.09739745 -4742.293001915088
0.06821866 -4648.803721454116
0.06754946 -4645.980994043859
0.12667521 -4802.184379921919
0.07984537 -4692.128180691469
0.02922338 -4378.1677468685375
0.07884529 -4688.778662301289
0.0685207 -4650.064543420682
0.02383965 -4314.825403476454
0.09168579 -4727.543267420797
0.08303303 -4702.3995474880485
0.07892854 -4689.059891414767
0.04122752 -4491.267119810657
0.08104795 -4696.073931632503
0.06515928 -4635.558207320204
0.05730223 -4597.064175672753
0.09139893 -4726.766847177856
0.05277852 -4571.446742200011
0.10788469 -4766.345056137599
0.05832343 -4602.472325066758
0.04136392 -4492.359143004315
0.06013532 -4611.753936367622
0.06091692 -4615.638517539359
0.05980657 -4610.098879090138
0.0022229 -4311.863415151442
0.07323872 -4668.757176458028
0.04173687 -4495.325425753703
0.08957556 -4721.745795506877
0.05630597 -4591.660078440796
0.06125503 -4617.297343178072
0.01704273 -4222.125718562781
0.05835919 -4602.659337504478
0.05702895 -4595.594535083435
0.04290294 -4504.416738085825
0.07795388 -4685.7392668294115
0.0164211 -4212.953699300741
0.0450496 -4520.45308201978
0.02758811 -4359.837229400266
0.04113092 -4490.491337255889
0.0764511 -4680.496259245142
0.07122528 -4661.003089587634
0.0770555 -4682.623217854985
0.05739724 -4597.572864676853
0.0253227 -4333.143258379817
0.04697008 -4534.0692578281905
0.03228669 -4410.484199500346
0.04348711 -4508.869025928879
0.03457281 -4432.972595166276
0.04794667 -4540.741735201729
0.04606473 -4527.733609912264
0.02338605 -4309.087182714242
0.04508378 -4520.701338157199
0.05146038 -4563.433917841781
0.01889045 -4248.73423257335
0.03853 -4468.852684064361
0.03762738 -4460.992893930265
0.03005697 -4387.218124804086
0.02876385 -4373.094375294738
0.03082798 -4395.416534835959
0.03913378 -4474.007657526756
0.04965713 -4552.038228327427
0.04071755 -4487.149593283817
0.02456109 -4323.820767137997
0.05048082 -4557.3072894608
0.02458812 -4324.154696181155
0.03015148 -4388.231876904161
0.03498279 -4436.865024192535
0.01262776 -4155.1669924512025
0.02472064 -4325.788447579989
0.02442437 -4322.128444332505
0.05604563 -4590.226486279971
0.04161584 -4494.365933758003
0.02417594 -4319.038471744619
0.07425882 -4672.566487248843
0.01623024 -4210.116800186824
0.01681029 -4218.7085617822595
0.02912945 -4377.135553090275
0.06003459 -4611.248133887511
0.00981066 -4112.546253510556
0.02150768 -4284.640284358364
0.01456703 -4185.022290831666
0.01806136 -4236.919594562645
0.02397281 -4316.497858116628
0.00663161 -4077.6104006253604
0.0509304 -4560.137737036494
0.01716734 -4223.951537699576
0.03148887 -4402.314201290335
0.01530498 -4196.2338933174005
0.01853703 -4243.723344007536
0.04462193 -4517.328563754226
0.02240907 -4296.509785413642
0.06449472 -4632.561778178019
0.01195879 -4144.837279514181
0.01591755 -4205.44868768586
0.00910162 -4102.656469384729
0.0114974 -4137.746483876792
0.00789507 -4087.8599122871155
0.01787378 -4234.218019639393
0.01525396 -4195.462475035184
0.07745288 -4684.008199067376
0.02361985 -4312.052889713869
0.02902467 -4375.981287657469
0.01185311 -4143.209646882115
0.0095948 -4109.470960144028
0.00933089 -4105.783948515321
0.01740605 -4227.436685997801
0.00519175 -4080.448437398365
0.01075468 -4126.460006026437
0.0101323 -4117.212016220543
