id	deme	orig_id
0	515	0
1	287	2
2	670	4
3	520	6
4	505	10
5	350	12
6	546	20
7	540	42
8	273	48
9	362	66
10	513	100
11	766	102
12	166	106
13	781	116
14	604	120
15	171	122
16	877	144
17	404	148
18	638	152
19	415	156
20	307	158
21	349	166
22	585	244
23	417	266
24	606	286
25	859	308
26	450	310
27	848	318
28	149	334
29	862	342
30	114	370
31	432	386
32	705	472
33	424	486
34	692	770
35	153	790
36	767	968
37	395	6964
38	687	6970
39	27	6984
40	480	6994
41	630	7000
42	360	7006
43	29	7008
44	473	7022
45	344	7034
46	178	7050
47	656	7058
48	219	7076
49	558	7078
50	775	7080
51	173	7110
52	155	7122
53	683	7124
54	580	7144
55	425	7166
56	338	7178
57	539	7182
58	818	7186
59	436	7222
60	576	7228
61	577	7236
62	42	7240
63	506	7252
64	708	7256
65	305	7276
66	420	7312
67	164	7384
68	438	7386
69	414	7408
70	131	7412
71	328	7430
72	694	7432
73	757	7440
74	421	7444
75	527	7464
76	187	7472
77	191	7492
