id	deme_0	deme_1	migration_modifier
0	0	1	1
1	0	2	1
2	0	3	1
3	0	4	1
4	0	5	1
5	0	6	1
6	1	0	1
7	1	2	1
8	1	6	1
9	1	7	1
10	1	8	1
11	1	18	1
12	2	0	1
13	2	1	1
14	2	3	1
15	2	8	1
16	2	9	1
17	2	10	1
18	3	0	1
19	3	2	1
20	3	4	1
21	3	10	1
22	3	11	1
23	3	12	1
24	4	0	1
25	4	3	1
26	4	5	1
27	4	12	1
28	4	13	1
29	4	14	1
30	5	0	1
31	5	4	1
32	5	6	1
33	5	14	1
34	5	15	1
35	5	16	1
36	6	0	1
37	6	1	1
38	6	5	1
39	6	16	1
40	6	17	1
41	6	18	1
42	7	1	1
43	7	8	1
44	7	18	1
45	7	19	1
46	7	20	1
47	7	36	1
48	8	1	1
49	8	2	1
50	8	7	1
51	8	9	1
52	8	20	1
53	8	21	1
54	9	2	1
55	9	8	1
56	9	10	1
57	9	21	1
58	9	22	1
59	9	23	1
60	10	2	1
61	10	3	1
62	10	9	1
63	10	11	1
64	10	23	1
65	10	24	1
66	11	3	1
67	11	10	1
68	11	12	1
69	11	24	1
70	11	25	1
71	11	26	1
72	12	3	1
73	12	4	1
74	12	11	1
75	12	13	1
76	12	26	1
77	12	27	1
78	13	4	1
79	13	12	1
80	13	14	1
81	13	27	1
82	13	28	1
83	13	29	1
84	14	4	1
85	14	5	1
86	14	13	1
87	14	15	1
88	14	29	1
89	14	30	1
90	15	5	1
91	15	14	1
92	15	16	1
93	15	30	1
94	15	31	1
95	15	32	1
96	16	5	1
97	16	6	1
98	16	15	1
99	16	17	1
100	16	32	1
101	16	33	1
102	17	6	1
103	17	16	1
104	17	18	1
105	17	33	1
106	17	34	1
107	17	35	1
108	18	1	1
109	18	6	1
110	18	7	1
111	18	17	1
112	18	35	1
113	18	36	1
114	19	7	1
115	19	20	1
116	19	36	1
117	19	37	1
118	19	38	1
119	19	60	1
120	20	7	1
121	20	8	1
122	20	19	1
123	20	21	1
124	20	38	1
125	20	39	1
126	21	8	1
127	21	9	1
128	21	20	1
129	21	22	1
130	21	39	1
131	21	40	1
132	22	9	1
133	22	21	1
134	22	23	1
135	22	40	1
136	22	41	1
137	22	42	1
138	23	9	1
139	23	10	1
140	23	22	1
141	23	24	1
142	23	42	1
143	23	43	1
144	24	10	1
145	24	11	1
146	24	23	1
147	24	25	1
148	24	43	1
149	24	44	1
150	25	11	1
151	25	24	1
152	25	26	1
153	25	44	1
154	25	45	1
155	25	46	1
156	26	11	1
157	26	12	1
158	26	25	1
159	26	27	1
160	26	46	1
161	26	47	1
162	27	12	1
163	27	13	1
164	27	26	1
165	27	28	1
166	27	47	1
167	27	48	1
168	28	13	1
169	28	27	1
170	28	29	1
171	28	48	1
172	28	49	1
173	28	50	1
174	29	13	1
175	29	14	1
176	29	28	1
177	29	30	1
178	29	50	1
179	29	51	1
180	30	14	1
181	30	15	1
182	30	29	1
183	30	31	1
184	30	51	1
185	30	52	1
186	31	15	1
187	31	30	1
188	31	32	1
189	31	52	1
190	31	53	1
191	31	54	1
192	32	15	1
193	32	16	1
194	32	31	1
195	32	33	1
196	32	54	1
197	32	55	1
198	33	16	1
199	33	17	1
200	33	32	1
201	33	34	1
202	33	55	1
203	33	56	1
204	34	17	1
205	34	33	1
206	34	35	1
207	34	56	1
208	34	57	1
209	34	58	1
210	35	17	1
211	35	18	1
212	35	34	1
213	35	36	1
214	35	58	1
215	35	59	1
216	36	7	1
217	36	18	1
218	36	19	1
219	36	35	1
220	36	59	1
221	36	60	1
222	37	19	1
223	37	38	1
224	37	60	1
225	37	61	1
226	37	62	1
227	37	90	1
228	38	19	1
229	38	20	1
230	38	37	1
231	38	39	1
232	38	62	1
233	38	63	1
234	39	20	1
235	39	21	1
236	39	38	1
237	39	40	1
238	39	63	1
239	39	64	1
240	40	21	1
241	40	22	1
242	40	39	1
243	40	41	1
244	40	64	1
245	40	65	1
246	41	22	1
247	41	40	1
248	41	42	1
249	41	65	1
250	41	66	1
251	41	67	1
252	42	22	1
253	42	23	1
254	42	41	1
255	42	43	1
256	42	67	1
257	42	68	1
258	43	23	1
259	43	24	1
260	43	42	1
261	43	44	1
262	43	68	1
263	43	69	1
264	44	24	1
265	44	25	1
266	44	43	1
267	44	45	1
268	44	69	1
269	44	70	1
270	45	25	1
271	45	44	1
272	45	46	1
273	45	70	1
274	45	71	1
275	45	72	1
276	46	25	1
277	46	26	1
278	46	45	1
279	46	47	1
280	46	72	1
281	46	73	1
282	47	26	1
283	47	27	1
284	47	46	1
285	47	48	1
286	47	73	1
287	47	74	1
288	48	27	1
289	48	28	1
290	48	47	1
291	48	49	1
